TimeWindow  TotalIterations  Iterations  Convergence  
   309    1337       3       1  
   310    1340       3       1  
   311    1343       3       1  
   312    1346       3       1  
   313    1349       3       1  
   314    1353       4       1  
   315    1356       3       1  
   316    1359       3       1  
   317    1362       3       1  
   318    1365       3       1  
   319    1369       4       1  
   320    1372       3       1  
   321    1376       4       1  
   322    1380       4       1  
   323    1384       4       1  
   324    1388       4       1  
   325    1392       4       1  
   326    1395       3       1  
   327    1399       4       1  
   328    1402       3       1  
   329    1406       4       1  
   330    1410       4       1  
   331    1414       4       1  
   332    1418       4       1  
   333    1422       4       1  
   334    1426       4       1  
   335    1429       3       1  
   336    1433       4       1  
   337    1437       4       1  
   338    1441       4       1  
   339    1445       4       1  
   340    1449       4       1  
   341    1453       4       1  
   342    1456       3       1  
   343    1460       4       1  
   344    1463       3       1  
   345    1466       3       1  
   346    1469       3       1  
   347    1473       4       1  
   348    1477       4       1  
   349    1481       4       1  
   350    1485       4       1  
   351    1488       3       1  
   352    1491       3       1  
   353    1494       3       1  
   354    1498       4       1  
   355    1502       4       1  
   356    1506       4       1  
   357    1510       4       1  
   358    1514       4       1  
   359    1517       3       1  
   360    1521       4       1  
   361    1524       3       1  
   362    1527       3       1  
   363    1530       3       1  
   364    1534       4       1  
   365    1537       3       1  
   366    1541       4       1  
   367    1545       4       1  
   368    1549       4       1  
   369    1552       3       1  
   370    1557       5       1  
   371    1563       6       1  
   372    1569       6       1  
   373    1573       4       1  
   374    1577       4       1  
   375    1582       5       1  
   376    1588       6       1  
   377    1593       5       1  
   378    1598       5       1  
   379    1603       5       1  
   380    1607       4       1  
   381    1612       5       1  
   382    1617       5       1  
   383    1622       5       1  
   384    1627       5       1  
   385    1632       5       1  
   386    1636       4       1  
   387    1640       4       1  
   388    1644       4       1  
   389    1648       4       1  
   390    1652       4       1  
   391    1656       4       1  
   392    1660       4       1  
   393    1664       4       1  
   394    1668       4       1  
   395    1671       3       1  
   396    1675       4       1  
   397    1679       4       1  
   398    1683       4       1  
   399    1687       4       1  
   400    1691       4       1  
   401    1694       3       1  
   402    1698       4       1  
   403    1702       4       1  
   404    1706       4       1  
   405    1710       4       1  
   406    1714       4       1  
   407    1718       4       1  
   408    1722       4       1  
   409    1725       3       1  
