TimeWindow  Iteration  ResRel(Displacement)  ResRel(Force)  
     3       8   5.78972810e-02   2.28980515e+01  
     3       9   2.73054474e-02   1.23395497e+01  
     3      10   1.78927776e-02   3.55396653e+00  
     3      11   1.56185750e-02   1.16216400e+00  
     3      12   8.80245759e-03   5.92027544e-01  
     3      13   4.50893676e-03   5.78567299e-01  
     3      14   4.60202384e-03   6.24352382e-01  
     3      15   4.07542410e-03   1.48986895e+00  
     3      16   2.31989805e-03   1.78866314e+00  
     3      17   1.38118378e-03   1.80626580e+00  
     3      18   1.25738820e-03   1.54238653e+00  
     3      19   1.27428871e-03   4.35950014e-01  
     3      20   9.12678225e-04   3.32395123e-02  
     3      21   5.45265824e-04   2.70981926e-02  
     3      22   6.67028084e-05   1.85822718e-02  
     3      23   6.19629519e-05   4.54434693e-02  
     3      24   2.94444807e-05   1.40546252e-02  
     3      25   1.73319760e-05   1.40053310e-02  
     3      26   8.80644617e-06   1.02549980e-03  
     4       1   4.10840404e-01   3.76178148e+01  
     4       2   2.81181371e-01   1.10210246e+01  
     4       3   2.58423386e-02   8.62297342e+00  
     4       4   1.71284768e-02   5.31272895e+00  
     4       5   5.68110079e-03   6.25893822e+00  
     4       6   1.45632162e-03   1.74041603e+00  
     4       7   1.25990718e-03   2.83920740e-01  
     4       8   3.82426404e-04   3.71124734e-01  
     4       9   9.76430865e-05   1.32020027e-01  
     4      10   6.18028968e-05   5.47774724e-02  
     4      11   7.94794396e-06   3.72058894e-04  
     5       1   4.94975005e-01   6.73763736e+00  
     5       2   9.33111265e-02   2.98378357e+00  
     5       3   2.60497357e-03   7.43277106e-01  
     5       4   1.04838769e-03   7.20170663e-02  
     5       5   1.24909442e-04   1.08060356e-02  
     5       6   1.45208491e-05   2.03435784e-03  
     6       1   2.58175684e-01   4.09528376e+00  
     6       2   2.55030190e-02   1.34603614e+00  
     6       3   8.17115057e-04   2.78733757e-01  
     6       4   2.77407346e-04   7.17869774e-02  
     6       5   2.35437424e-05   8.05231064e-03  
     6       6   6.49021411e-06   9.25282224e-04  
     7       1   2.72293179e-01   4.54109166e+00  
     7       2   3.25493999e-03   1.16269847e+00  
     7       3   7.82415435e-04   1.63746531e-01  
     7       4   1.25615080e-04   4.10215568e-02  
     7       5   1.65830034e-05   1.35924644e-03  
     8       1   1.77773562e-01   4.17434860e+00  
     8       2   8.85374632e-03   9.38752821e+00  
     8       3   7.97408431e-04   4.74426941e-01  
     8       4   1.86360025e-04   4.26238402e-02  
     8       5   2.59983666e-05   1.11080950e-02  
     8       6   2.38922513e-06   8.79480575e-04  
     9       1   1.78296078e-01   4.68607811e+00  
     9       2   3.92534070e-03   1.29423999e+00  
     9       3   1.80643230e-04   1.33196630e-01  
     9       4   2.68176526e-05   9.40252254e-03  
     9       5   1.82749149e-06   2.81805350e-04  
    10       1   1.31412419e-01   4.46256029e+00  
    10       2   2.71774025e-03   1.25781121e+00  
    10       3   2.14558321e-04   2.25478894e-01  
    10       4   1.99446113e-05   1.32281980e-02  
    10       5   1.39658447e-06   1.03097981e-03  
    11       1   1.29102277e-01   4.96754266e+00  
    11       2   2.18761358e-03   1.14811908e+00  
    11       3   2.58978786e-04   6.43841299e-02  
    11       4   1.72577030e-05   4.67985507e-03  
    12       1   1.01591452e-01   4.68598808e+00  
    12       2   2.62823984e-03   9.33947823e-01  
    12       3   1.37061942e-04   4.15242950e-02  
    12       4   1.22999705e-05   4.76973348e-03  
    13       1   9.97654912e-02   5.25430020e+00  
    13       2   1.66576378e-03   1.14450284e+00  
    13       3   6.65375610e-05   5.07375868e-02  
    13       4   8.00420242e-06   2.44932512e-03  
    14       1   8.24116329e-02   4.95088118e+00  
    14       2   1.90089910e-03   1.17772263e+00  
    14       3   1.89809815e-04   5.65283663e-02  
    14       4   5.56973382e-06   1.16384399e-02  
    14       5   3.58597675e-07   1.15936384e-04  
    15       1   8.07316819e-02   5.36182943e+00  
    15       2   1.79995701e-03   1.13301590e+00  
    15       3   6.33000450e-05   1.04942106e-02  
    15       4   4.15786007e-06   1.17295970e-03  
    16       1   6.89139803e-02   5.22908256e+00  
    16       2   1.22676979e-03   6.44700828e-01  
    16       3   1.25473537e-04   3.84109080e-02  
    16       4   1.65279735e-05   3.55260278e-03  
    17       1   6.75716535e-02   5.56893209e+00  
    17       2   6.76891354e-04   1.00312204e+00  
    17       3   5.05000500e-05   1.48012187e-01  
    17       4   3.61256384e-06   4.98658608e-03  
    18       1   5.88750111e-02   5.50431678e+00  
    18       2   1.90046108e-03   1.07334507e+00  
    18       3   2.00621299e-04   9.16392056e-02  
    18       4   9.38005536e-06   6.92431783e-03  
    18       5   1.16523527e-06   7.29340382e-04  
    19       1   5.82318038e-02   5.65823116e+00  
    19       2   1.08428690e-03   1.09002062e+00  
    19       3   5.79688580e-05   1.53896811e-02  
    19       4   6.50379299e-06   5.86919227e-03  
    19       5   2.72110288e-07   2.57478830e-04  
    20       1   5.14109848e-02   5.74357146e+00  
    20       2   1.39506201e-03   9.76219027e-01  
    20       3   5.93525117e-05   6.49590081e-02  
    20       4   4.34686928e-06   5.73886253e-03  
    20       5   3.83798940e-07   5.31157459e-04  
    21       1   5.05510999e-02   5.90134976e+00  
    21       2   1.18723069e-03   6.53016817e-01  
    21       3   4.62884691e-05   2.50623357e-01  
    21       4   7.19032457e-06   3.35243213e-03  
    22       1   4.68875596e-02   5.99344679e+00  
    22       2   3.97057278e-04   8.55699732e-01  
    22       3   4.30455797e-05   3.52807318e-02  
    22       4   2.84873622e-06   1.63475635e-03  
    23       1   4.46693183e-02   5.85558777e+00  
    23       2   9.19517497e-04   7.55801013e-01  
    23       3   4.25617197e-05   1.85055507e-02  
    23       4   2.82902580e-06   6.51727675e-03  
    23       5   6.01404650e-07   4.39887570e-04  
    24       1   4.14540376e-02   5.88865269e+00  
    24       2   5.52934325e-04   8.86238048e-01  
    24       3   4.20094932e-05   2.20154344e-02  
    24       4   1.00432909e-05   5.70422927e-03  
    24       5   5.55988501e-07   3.42871256e-04  
    25       1   4.16854160e-02   5.64375954e+00  
    25       2   9.36273043e-04   9.97534744e-01  
    25       3   3.49508505e-05   7.94050370e-02  
    25       4   5.12522113e-06   4.99283563e-03  
    26       1   3.69150067e-02   5.86848772e+00  
    26       2   5.62750081e-04   5.78631001e-01  
    26       3   2.41703345e-05   1.41953187e-02  
    26       4   2.70062812e-06   3.09983474e-03  
    27       1   3.87689491e-02   6.06867442e+00  
    27       2   4.47663341e-04   9.81801121e-01  
    27       3   1.60586145e-05   8.59385843e-02  
    27       4   3.63531899e-06   7.97087509e-03  
    27       5   2.84906889e-07   4.02161581e-04  
    28       1   3.46109066e-02   5.91671134e+00  
    28       2   4.70179158e-04   1.67197234e-01  
    28       3   1.16294413e-05   1.28766238e-02  
    28       4   2.01953037e-06   5.27890749e-03  
    28       5   9.00635422e-08   6.67047345e-04  
    29       1   3.48608534e-02   6.03518966e+00  
    29       2   2.95997145e-04   6.57275174e-01  
    29       3   1.64675376e-05   4.70932281e-02  
    29       4   4.60434110e-06   2.44155388e-03  
    30       1   3.24931303e-02   5.66036733e+00  
    30       2   2.53860568e-04   9.67255226e-01  
    30       3   1.49426542e-05   2.73505354e-02  
    30       4   9.06742124e-07   2.00596359e-03  
    31       1   3.23407225e-02   5.89565839e+00  
    31       2   3.99253171e-04   1.05021749e+00  
    31       3   1.05294766e-05   2.15694010e-02  
    31       4   2.20253844e-06   3.86051564e-03  
