TimeWindow  TotalIterations  Iterations  Convergence  QNColumns  DeletedQNColumns  DroppedQNColumns  
   197     918       3       1      40       0       3  
   198     922       4       1      41       0       2  
   199     926       4       1      41       0       3  
   200     930       4       1      41       0       3  
   201     934       4       1      41       0       3  
   202     937       3       1      40       0       3  
   203     940       3       1      40       0       2  
   204     944       4       1      40       0       3  
   205     948       4       1      40       0       3  
   206     952       4       1      41       0       2  
   207     956       4       1      41       0       3  
   208     960       4       1      42       0       2  
   209     964       4       1      42       0       3  
   210     968       4       1      42       0       3  
   211     972       4       1      42       0       3  
   212     976       4       1      43       0       2  
   213     980       4       1      43       0       3  
   214     984       4       1      43       1       2  
   215     988       4       1      43       0       3  
   216     992       4       1      43       0       3  
   217     995       3       1      43       0       2  
   218     999       4       1      44       0       2  
   219    1003       4       1      44       0       3  
   220    1006       3       1      43       0       3  
   221    1010       4       1      43       0       3  
   222    1013       3       1      42       0       3  
   223    1016       3       1      41       0       3  
   224    1019       3       1      39       1       3  
   225    1022       3       1      39       0       2  
   226    1026       4       1      39       1       2  
   227    1029       3       1      38       0       3  
   228    1033       4       1      38       0       3  
   229    1036       3       1      37       0       3  
   230    1040       4       1      36       1       3  
   231    1043       3       1      36       0       2  
   232    1047       4       1      37       1       1  
   233    1051       4       1      36       1       3  
   234    1055       4       1      36       0       3  
   235    1059       4       1      38       0       1  
   236    1062       3       1      37       0       3  
   237    1067       5       1      39       0       2  
   238    1071       4       1      40       0       2  
   239    1075       4       1      41       0       2  
   240    1079       4       1      42       0       2  
   241    1083       4       1      42       0       3  
   242    1087       4       1      43       0       2  
   243    1091       4       1      43       0       3  
   244    1095       4       1      44       0       2  
   245    1099       4       1      44       0       3  
   246    1103       4       1      45       0       2  
   247    1107       4       1      45       0       3  
   248    1111       4       1      45       1       2  
   249    1115       4       1      45       0       3  
   250    1119       4       1      44       1       3  
   251    1123       4       1      46       0       1  
   252    1127       4       1      45       0       4  
   253    1131       4       1      45       1       2  
   254    1134       3       1      44       0       3  
   255    1138       4       1      44       1       2  
   256    1141       3       1      43       0       3  
   257    1144       3       1      42       0       3  
   258    1148       4       1      42       1       2  
   259    1152       4       1      42       0       3  
   260    1156       4       1      42       0       3  
   261    1160       4       1      42       0       3  
   262    1164       4       1      42       0       3  
   263    1168       4       1      42       0       3  
   264    1171       3       1      41       0       3  
   265    1174       3       1      40       0       3  
   266    1178       4       1      40       0       3  
   267    1181       3       1      39       0       3  
   268    1185       4       1      39       0       3  
   269    1188       3       1      39       0       2  
   270    1192       4       1      39       0       3  
   271    1196       4       1      40       0       2  
   272    1199       3       1      40       0       2  
   273    1203       4       1      40       1       2  
   274    1207       4       1      40       1       2  
   275    1210       3       1      39       0       3  
   276    1213       3       1      38       0       3  
   277    1217       4       1      38       0       3  
   278    1221       4       1      38       0       3  
   279    1224       3       1      38       0       2  
   280    1228       4       1      39       0       2  
   281    1231       3       1      38       0       3  
   282    1234       3       1      38       0       2  
   283    1238       4       1      38       1       2  
   284    1242       4       1      39       0       2  
   285    1246       4       1      39       0       3  
   286    1250       4       1      39       0       3  
   287    1254       4       1      40       0       2  
   288    1257       3       1      39       0       3  
   289    1261       4       1      39       0       3  
   290    1265       4       1      40       0       2  
   291    1269       4       1      41       0       2  
   292    1272       3       1      40       0       3  
   293    1276       4       1      40       0       3  
   294    1280       4       1      41       0       2  
   295    1284       4       1      41       0       3  
   296    1288       4       1      42       0       2  
   297    1291       3       1      42       0       2  
   298    1295       4       1      42       0       3  
   299    1299       4       1      42       0       3  
   300    1303       4       1      42       0       3  
   301    1307       4       1      42       0       3  
   302    1311       4       1      42       0       3  
   303    1315       4       1      43       0       2  
   304    1319       4       1      43       1       2  
   305    1323       4       1      43       0       3  
   306    1326       3       1      42       0       3  
   307    1330       4       1      43       0       2  
   308    1334       4       1      42       1       3  
   309    1337       3       1      41       0       3  
   310    1340       3       1      40       0       3  
   311    1343       3       1      40       0       2  
   312    1346       3       1      40       0       2  
   313    1349       3       1      39       0       3  
   314    1353       4       1      39       0       3  
   315    1356       3       1      38       0       3  
   316    1359       3       1      37       0       3  
   317    1362       3       1      35       1       3  
   318    1365       3       1      35       0       2  
   319    1369       4       1      35       0       3  
   320    1372       3       1      34       0       3  
   321    1376       4       1      35       0       2  
   322    1380       4       1      35       0       3  
   323    1384       4       1      35       0       3  
   324    1388       4       1      36       0       2  
   325    1392       4       1      37       0       2  
   326    1395       3       1      37       0       2  
   327    1399       4       1      38       0       2  
   328    1402       3       1      38       0       2  
   329    1406       4       1      38       0       3  
   330    1410       4       1      39       0       2  
   331    1414       4       1      40       0       2  
   332    1418       4       1      41       0       2  
   333    1422       4       1      42       0       2  
   334    1426       4       1      42       0       3  
   335    1429       3       1      42       0       2  
   336    1433       4       1      42       0       3  
   337    1437       4       1      42       0       3  
   338    1441       4       1      41       2       2  
   339    1445       4       1      41       0       3  
   340    1449       4       1      42       0       2  
   341    1453       4       1      43       0       2  
   342    1456       3       1      42       0       3  
